CustomerID,Age,Gender,City,AnnualIncome,MembershipTier,PreferredChannel,TenureMonths,RecencyDays,Frequency,MonetaryTotal,AvgBasketValue,Segment,PC1,PC2,SegmentName
CUST-10491,31.0,Male,Houston,100495.44,Gold,Online,45,6,29,1314.91,129.07,2,1.602303684039507,-1.051177896093591,High-Value Loyalists
CUST-10452,46.0,Female,Phoenix,124841.16,Silver,Mobile App,30,2,19,3316.66,154.96,2,2.371837677708826,0.19549262907277595,High-Value Loyalists
CUST-10183,19.0,Male,Boston,36045.41,Platinum,In-Store,38,30,16,332.73,15.33,3,-0.9460075796535751,-1.4427668849426645,Young Digital Shoppers
CUST-10959,22.0,Female,Austin,33188.39,Basic,Online,1,63,1,87.3,59.24,0,-2.532104663917321,0.42140878855569686,New / Low-Engagement
CUST-10628,31.0,Male,Austin,96463.08,Basic,Mobile App,22,43,5,2711.25,230.27,1,0.5681657413019623,1.3201690127823669,Occasional Big Spenders
CUST-10690,53.0,Non-Binary,Austin,96822.74,Silver,Mobile App,25,73,10,3273.17,429.29,1,1.8108367729804522,2.761898074578631,Occasional Big Spenders
CUST-10788,29.0,Male,Houston,46106.72,Platinum,Mobile App,1,93,3,157.54,46.55,0,-2.3699669716245406,1.0271052851260691,New / Low-Engagement
CUST-10361,37.0,Female,Chicago,87470.37,Basic,Online,38,12,43,5076.62,181.33,2,3.21827629918502,-1.3477411650652378,High-Value Loyalists
CUST-10595,59.0,Female,Boston,94715.8,Platinum,Online,31,38,4,1405.6,416.85,1,1.5375814037322357,2.434164841480078,Occasional Big Spenders
CUST-10850,37.0,Female,Boston,37007.89,Basic,Online,5,65,3,94.64,74.73,0,-1.8927733371249487,0.6828484494601572,New / Low-Engagement
CUST-10981,32.0,Female,Miami,67627.46,Basic,Online,1,130,3,70.76,84.01,0,-2.268084916172219,2.085421394669073,New / Low-Engagement
CUST-10194,39.0,Male,New York,37559.17,Silver,In-Store,69,30,20,236.71,28.62,4,0.4720100203463385,-1.5725026957604968,Budget Shoppers
CUST-10957,46.0,Female,Houston,58807.57,Platinum,Online,1,91,0,147.54,35.51,0,-1.8634758290978721,1.5334904747952338,New / Low-Engagement
CUST-10623,59.0,Male,New York,116297.19,Basic,Online,13,44,8,2215.07,429.26,1,1.7755286342267285,2.8654952443125254,Occasional Big Spenders
CUST-10767,33.0,Male,Seattle,33725.03,Gold,Online,1,70,3,210.5,87.51,0,-2.1100960905884105,0.7558354369968628,New / Low-Engagement
CUST-10245,48.0,Female,Denver,30565.29,Basic,In-Store,13,14,11,319.75,36.83,4,-0.798607165769493,-0.6471179048838154,Budget Shoppers
CUST-10024,44.0,Male,New York,34249.19,Basic,Online,26,27,16,481.85,26.25,4,-0.46870079829601835,-0.8950271564717152,Budget Shoppers
CUST-10785,27.0,Female,Atlanta,60533.18,Gold,In-Store,4,30,2,260.43,78.38,0,-1.5636979378345894,0.30879833025825826,New / Low-Engagement
CUST-10750,35.0,Male,Phoenix,41780.9,Silver,In-Store,1,77,3,0.0,71.54,0,-2.1189059627419504,0.9294733341276038,New / Low-Engagement
CUST-10892,44.0,Male,Atlanta,35522.28,Basic,Online,1,150,1,149.87,30.33,0,-2.690387751683963,2.0921811580835254,New / Low-Engagement
CUST-10467,61.0,Female,Portland,97339.42,Basic,Online,24,6,27,2484.5,166.63,2,2.28993956477207,-0.07019459460860529,High-Value Loyalists
CUST-10181,36.0,Female,New York,41779.42,Gold,In-Store,31,7,18,1103.6,32.38,4,-0.01888616897372901,-1.3852795082012508,Budget Shoppers
CUST-10932,38.0,Female,New York,30063.92,Silver,Mobile App,6,88,1,147.56,29.6,0,-2.2841663769120224,0.8737888565309407,New / Low-Engagement
CUST-10633,55.0,Male,New York,121177.86,Silver,Mobile App,43,92,6,1779.71,250.12,1,1.3830423280207664,2.600268011403419,Occasional Big Spenders
CUST-10736,37.0,Female,Portland,141716.52,Silver,Mobile App,44,58,7,3337.15,487.2,1,2.568273435100253,2.950980866772984,Occasional Big Spenders
CUST-10600,67.0,Male,Phoenix,93010.73,Silver,Online,26,52,5,2268.69,422.61,1,1.8276144144941795,2.8134933082895377,Occasional Big Spenders
CUST-10324,39.0,Male,Boston,39159.72,Silver,Online,21,20,10,663.88,11.49,4,-0.7816055943282868,-0.7565268500946332,Budget Shoppers
CUST-10273,37.0,Female,Austin,47693.575,Basic,Online,38,40,20,299.74,17.08,4,-0.2624861102914439,-1.014442627785489,Budget Shoppers
CUST-10824,35.0,Female,Seattle,26180.67,Gold,Mobile App,3,38,3,21.57,77.73,0,-1.9189984940228977,0.12421849095223103,New / Low-Engagement
CUST-10663,68.0,Male,Houston,99852.07,Gold,Online,29,60,4,1445.73,391.71,1,1.568088834571628,2.91760304021121,Occasional Big Spenders
CUST-10200,50.0,Male,Seattle,52265.07,Basic,Online,25,30,21,788.48,25.37,4,0.1452537406131456,-0.7540136251115703,Budget Shoppers
CUST-10540,54.0,Male,Portland,72210.32,Silver,Online,69,20,8,3074.96,187.34,2,2.2873394551697133,0.18989967441475367,High-Value Loyalists
CUST-11115,28.0,Female,Austin,47693.575,Basic,In-Store,12,1,28,914.33,30.67,3,-0.26937904290633546,-1.803902268654181,Young Digital Shoppers
CUST-10801,18.0,Male,Denver,55282.89,Silver,Online,7,86,2,138.82,52.07,0,-2.38117896350485,0.8364622841785789,New / Low-Engagement
CUST-10506,52.0,Female,Miami,64276.05,Basic,In-Store,52,18,38,6044.51,126.62,2,3.6162614272337192,-1.4294290637005425,High-Value Loyalists
CUST-10551,47.0,Female,Boston,95256.81,Silver,In-Store,45,8,30,4500.0,118.84,2,2.9995069984260767,-0.8860029769005382,High-Value Loyalists
CUST-10780,25.0,Female,Seattle,23478.23,Silver,Online,5,106,3,106.02,68.34,0,-2.7489942408925616,0.940911452295892,New / Low-Engagement
CUST-10370,53.0,Female,Houston,97514.21,Gold,Mobile App,32,4,10,4747.49,139.65,2,2.3616111186810196,0.35966220934742077,High-Value Loyalists
CUST-11129,24.0,Female,New York,33280.8,Silver,Online,12,19,23,506.04,37.23,3,-1.0039358545834975,-1.4970815355344604,Young Digital Shoppers
CUST-10216,29.0,Male,Portland,39601.55,Platinum,Online,21,22,11,713.04,21.06,3,-0.9910198988670108,-0.8974732425341149,Young Digital Shoppers
CUST-10380,50.0,Female,Miami,102231.53,Platinum,Mobile App,65,6,23,3736.82,124.18,2,3.1716352852573158,-0.6670278383177829,High-Value Loyalists
CUST-10427,48.0,Female,New York,109425.39,Platinum,In-Store,71,9,23,1593.78,81.81,2,2.5250288835516654,-0.8253315831385544,High-Value Loyalists
CUST-11161,27.0,Male,Atlanta,49888.73,Silver,Online,16,20,18,1223.82,32.86,3,-0.5770476452714758,-1.0589077044577213,Young Digital Shoppers
CUST-10219,33.0,Male,Portland,43410.04,Silver,In-Store,10,25,17,523.58,30.03,3,-0.9469971387988283,-0.8511487169766613,Young Digital Shoppers
CUST-10019,28.0,Female,Miami,34267.11,Gold,In-Store,33,43,18,277.31,26.89,3,-0.8718402429304906,-1.0884287018779937,Young Digital Shoppers
CUST-11149,25.0,Male,Seattle,39482.77,Basic,Online,8,11,23,448.89,12.27,3,-1.000342739714979,-1.5932120072153877,Young Digital Shoppers
CUST-10047,44.0,Male,Portland,32497.22,Silver,Online,36,26,19,607.67,26.46,4,-0.10578125618678462,-1.187725298327175,Budget Shoppers
CUST-10341,52.0,Non-Binary,Los Angeles,87280.1,Platinum,Online,55,8,33,3433.13,154.38,2,3.105872748178487,-1.0047542866299028,High-Value Loyalists
CUST-10170,63.0,Male,Houston,32447.74,Silver,Online,22,53,13,925.69,29.52,4,-0.2406384478542341,0.027801405817189574,Budget Shoppers
CUST-10428,39.0,Female,Atlanta,101247.64,Silver,Mobile App,73,13,27,2393.53,140.14,2,2.7256787517549435,-0.9739738311590836,High-Value Loyalists
CUST-10867,25.0,Male,Los Angeles,50265.5,Basic,Online,8,94,1,100.74,71.21,0,-2.3014565350501313,1.1411844356602205,New / Low-Engagement
CUST-10043,37.0,Male,Los Angeles,46214.58,Gold,Mobile App,42,39,20,759.73,19.07,4,-0.02586641519125936,-1.0845585909143556,Budget Shoppers
CUST-11176,23.0,Male,Portland,42190.39,Gold,Online,1,18,17,1204.0,25.53,3,-1.1721129726421164,-1.0615706387745032,Young Digital Shoppers
CUST-10729,51.0,Female,Atlanta,103781.07,Silver,In-Store,13,65,6,2469.17,234.95,1,0.7760021517081725,2.179689502200346,Occasional Big Spenders
CUST-10413,45.0,Non-Binary,Denver,77730.69,Basic,Online,38,7,23,3363.6,116.4,2,1.9511571993745165,-0.7504960246445355,High-Value Loyalists
CUST-10914,23.0,Male,New York,63164.99,Gold,Mobile App,3,34,3,211.3,67.33,0,-1.703266073028748,0.2526695488376517,New / Low-Engagement
CUST-10137,40.0,Female,Austin,42701.29,Silver,In-Store,28,27,19,312.18,32.96,4,-0.35900798426548175,-0.9987950262551261,Budget Shoppers
CUST-10017,38.0,Female,Atlanta,37352.75,Gold,Online,35,25,11,743.5,32.14,4,-0.440682098038883,-0.8372255846523209,Budget Shoppers
CUST-11006,19.0,Male,Portland,30685.64,Gold,Online,26,22,26,902.02,39.85,3,-0.6350742260256638,-1.8575128098721423,Young Digital Shoppers
CUST-10131,31.0,Female,Seattle,46464.9,Silver,In-Store,33,32,11,406.41,44.43,4,-0.7009567256961797,-0.6626411763146929,Budget Shoppers
CUST-11008,23.0,Female,Portland,30909.13,Basic,Online,14,20,29,747.54,33.35,3,-0.7463908285318163,-1.847196989450788,Young Digital Shoppers
CUST-10883,30.0,Male,Seattle,36800.0,Platinum,Online,4,112,1,40.16,88.9,0,-2.559998600919767,1.4748599912907485,New / Low-Engagement
CUST-10825,35.0,Female,Portland,48867.93,Silver,Online,6,82,1,165.45,113.11,0,-1.8725770241696793,1.30730843458382,New / Low-Engagement
CUST-10455,36.0,Male,Atlanta,80142.52,Silver,In-Store,61,20,32,4265.72,135.2,2,2.809295765093783,-1.2760000266374378,High-Value Loyalists
CUST-11067,18.0,Female,Chicago,29868.54,Gold,Online,12,10,11,1271.33,33.25,3,-1.3094716663780461,-1.2359884341773346,Young Digital Shoppers
CUST-10997,26.0,Male,Phoenix,48122.99,Basic,Online,4,7,1,144.79,65.98,3,-1.6553240995394831,-0.22989953932892554,Young Digital Shoppers
CUST-10460,44.0,Female,Chicago,80256.16,Basic,Online,40,10,16,3418.89,85.66,2,1.6802166560401184,-0.5153042107156081,High-Value Loyalists
CUST-10010,46.0,Male,Houston,25230.47,Gold,Online,24,23,13,868.37,10.94,4,-0.5557395916095496,-0.9321319427540823,Budget Shoppers
CUST-11135,29.0,Non-Binary,Miami,39279.68,Basic,In-Store,27,15,15,925.87,33.08,3,-0.5608955948218202,-1.2184714564909467,Young Digital Shoppers
CUST-10838,29.0,Male,Atlanta,32310.29,Platinum,Online,5,58,3,132.82,62.53,0,-2.1266401865715783,0.32548018350401964,New / Low-Engagement
CUST-10104,31.0,Male,New York,37529.64,Basic,Mobile App,2,20,8,823.71,21.25,3,-1.4533540003367387,-0.5566620405325514,Young Digital Shoppers
CUST-10577,37.0,Male,Houston,96982.07,Silver,In-Store,17,86,6,1740.2,342.42,1,0.24116631995733123,2.600974924011715,Occasional Big Spenders
CUST-11172,26.0,Female,Portland,45043.17,Gold,Online,10,16,9,737.37,36.63,3,-1.2315538613121426,-0.691410236656091,Young Digital Shoppers
CUST-10811,41.0,Male,New York,37586.08,Silver,Online,2,0,4,259.98,66.0,3,-1.2280528067941436,-0.3263320340484991,Young Digital Shoppers
CUST-10978,34.0,Female,Portland,63288.74,Gold,Online,1,85,2,28.22,52.81,0,-2.009988641345538,1.2643248479661044,New / Low-Engagement
CUST-11007,25.0,Male,Miami,38923.84,Silver,In-Store,21,26,14,1224.06,34.3,3,-0.8407044151910047,-0.993236150421164,Young Digital Shoppers
CUST-10538,60.0,Female,Atlanta,87863.64,Basic,Online,42,14,27,4407.65,171.91,2,3.129426206872221,-0.2535432556897943,High-Value Loyalists
CUST-10938,25.0,Female,Miami,46928.54,Silver,Mobile App,10,53,2,160.98,43.27,0,-1.9621238620664243,0.25855375389658225,New / Low-Engagement
CUST-10197,58.0,Female,Houston,45457.38,Gold,Online,59,16,12,543.02,13.84,4,0.7629158859574737,-0.9443461556009122,Budget Shoppers
CUST-11170,25.0,Male,Phoenix,40759.24,Platinum,In-Store,10,25,21,804.09,21.96,3,-0.9871367950269361,-1.2416579079584573,Young Digital Shoppers
CUST-10733,32.0,Male,Chicago,80829.03,Silver,Online,33,87,4,1456.23,353.32,1,0.1262304158434723,2.290692665365714,Occasional Big Spenders
CUST-10730,34.0,Female,Seattle,106170.77,Gold,Mobile App,16,86,4,1057.4,243.01,1,-0.272692254215792,2.3388168170899446,Occasional Big Spenders
CUST-10430,42.0,Female,Phoenix,93327.51,Silver,Online,50,0,20,4420.98,102.22,2,2.611884882918273,-0.7828092995223558,High-Value Loyalists
CUST-10861,27.0,Female,Chicago,41594.01,Platinum,Online,1,51,4,47.46,45.64,0,-2.129238263427843,0.21788584267344116,New / Low-Engagement
CUST-11038,18.0,Female,Denver,37715.36,Silver,Online,1,13,14,658.36,22.48,3,-1.6108287381900015,-1.1550311976345298,Young Digital Shoppers
CUST-10352,39.0,Female,Chicago,83127.8,Gold,In-Store,37,9,29,2932.25,115.94,2,1.883084988817371,-1.0306467336221403,High-Value Loyalists
CUST-10210,47.0,Female,Portland,48115.65,Basic,Online,1,28,17,926.13,33.24,4,-0.6025695784872526,-0.386210287042111,Budget Shoppers
CUST-10570,53.0,Non-Binary,Phoenix,58946.64,Gold,Mobile App,45,48,4,1220.16,317.12,1,0.8635217694817069,1.4739156196427328,Occasional Big Spenders
CUST-10225,26.0,Male,Houston,57833.9,Basic,Online,44,16,9,184.83,36.24,3,-0.4625189845604531,-0.9376405151519832,Young Digital Shoppers
CUST-10537,45.0,Female,Denver,91754.68,Basic,In-Store,52,9,25,3768.86,111.12,2,2.6251988407310742,-0.8286874125124502,High-Value Loyalists
CUST-10143,56.0,Male,Denver,26276.23,Basic,Online,15,43,10,654.75,18.58,4,-0.8041465667581635,-0.15130435426761557,Budget Shoppers
CUST-10319,39.0,Male,Atlanta,49184.34,Basic,In-Store,19,32,16,960.09,26.96,4,-0.4615796410224291,-0.6365657645911719,Budget Shoppers
CUST-11160,33.0,Male,Portland,55484.25,Basic,Online,10,31,23,887.28,18.33,3,-0.546012496726922,-0.941131370662272,Young Digital Shoppers
CUST-10066,28.0,Male,Portland,30663.94,Basic,Mobile App,27,17,12,174.1,39.03,3,-1.0488356437778423,-1.143373318281465,Young Digital Shoppers
CUST-10243,37.0,Male,Los Angeles,37161.26,Basic,In-Store,31,6,15,838.23,35.89,4,-0.2238475915978782,-1.2844702144284652,Budget Shoppers
CUST-10444,49.0,Female,Austin,125580.86,Basic,In-Store,42,6,37,4762.19,131.88,2,3.745106195186655,-0.7577240450477247,High-Value Loyalists
CUST-11147,22.0,Male,Los Angeles,51334.46,Silver,Online,15,19,14,619.15,42.03,3,-1.02245218846884,-0.9073474894866367,Young Digital Shoppers
CUST-10479,34.0,Male,Phoenix,117436.97,Basic,In-Store,56,7,19,2734.93,167.81,2,2.352784809085344,-0.2697844851380194,High-Value Loyalists
CUST-10507,42.0,Male,Los Angeles,64563.34,Platinum,Mobile App,44,12,22,3391.62,140.62,2,1.8306292189768294,-0.799566293218429,High-Value Loyalists
CUST-10322,34.0,Female,New York,41686.19,Basic,Online,23,3,16,675.93,35.11,3,-0.4275383191734339,-1.2875137333203421,Young Digital Shoppers
CUST-10037,49.0,Female,New York,35309.08,Silver,In-Store,34,33,20,818.6,24.46,4,0.0585271693727612,-0.9878409617737773,Budget Shoppers
CUST-10325,40.0,Female,Boston,39977.08,Silver,Online,21,21,12,791.33,18.14,4,-0.6261837192967147,-0.7786496559254752,Budget Shoppers
CUST-10971,28.0,Male,Miami,52738.68,Basic,Online,4,75,2,162.96,47.85,0,-2.1206339987853626,0.8198092951953817,New / Low-Engagement
CUST-10468,31.0,Female,Austin,47693.575,Basic,Online,51,17,29,4923.7,139.05,2,2.174355551879467,-1.5222935346962827,High-Value Loyalists
CUST-11017,27.0,Male,New York,47588.55,Basic,Online,6,18,20,1173.72,25.22,3,-0.7860000233856694,-1.1284958553066524,Young Digital Shoppers
CUST-11146,24.0,Female,New York,45972.49,Basic,Online,14,26,7,508.17,34.18,3,-1.4156474326273967,-0.5192349356847897,Young Digital Shoppers
CUST-10489,53.0,Female,Houston,115453.5,Silver,In-Store,60,17,30,3718.19,132.23,2,3.4673625705442546,-0.5178236310271666,High-Value Loyalists
CUST-10918,25.0,Male,Houston,42002.7,Basic,Mobile App,6,85,2,118.72,7.74,0,-2.4860559366602213,0.6048409354009328,New / Low-Engagement
CUST-11197,22.0,Female,Miami,63611.08,Silver,In-Store,13,10,34,737.19,28.3,3,-0.1384833408650486,-1.8771222507576384,Young Digital Shoppers
CUST-10045,32.0,Female,Miami,29105.46,Silver,Online,46,30,11,772.56,11.55,4,-0.5351970377655042,-1.1750989714701197,Budget Shoppers
CUST-10357,47.0,Male,Los Angeles,115125.29,Silver,In-Store,60,7,30,2440.59,83.84,2,2.855154475508966,-0.9950682802732055,High-Value Loyalists
CUST-10292,31.0,Female,Houston,46213.03,Silver,In-Store,60,23,11,583.84,38.46,4,0.04073759068629643,-1.148180236463315,Budget Shoppers
CUST-10969,30.0,Female,Houston,59490.23,Silver,Online,1,72,1,128.69,14.15,0,-2.149922110300641,0.8253066422953196,New / Low-Engagement
CUST-10093,42.0,Male,Seattle,44407.88,Platinum,In-Store,30,23,18,608.91,42.89,4,-0.11747747491150512,-0.9407461201069183,Budget Shoppers
CUST-11072,28.0,Male,New York,41863.36,Gold,In-Store,11,14,11,395.39,35.02,3,-1.223502926136674,-0.8404238463328231,Young Digital Shoppers
CUST-10408,44.0,Female,Denver,87784.93,Basic,Online,47,0,26,5280.02,101.65,2,3.011952242324167,-1.0607305994681204,High-Value Loyalists
CUST-11027,26.0,Male,Chicago,35949.76,Basic,In-Store,13,16,23,1141.87,60.71,3,-0.6048602445250324,-1.3879498529395,Young Digital Shoppers
CUST-11012,24.0,Female,Houston,34962.27,Basic,Online,11,6,15,1014.58,60.44,3,-0.952117449218852,-1.1966092140822568,Young Digital Shoppers
CUST-11081,22.0,Female,New York,54327.02,Gold,Online,18,19,27,567.45,24.24,3,-0.5240099129031487,-1.5923538390483583,Young Digital Shoppers
CUST-10026,44.0,Female,Seattle,49059.79,Silver,Online,41,41,9,603.35,20.73,4,-0.2674205053540553,-0.3638764889972716,Budget Shoppers
CUST-10641,45.0,Male,Seattle,99981.49,Basic,In-Store,28,36,9,2656.62,291.68,1,1.4565673967755892,1.4956247830327174,Occasional Big Spenders
CUST-10504,43.0,Male,Austin,108895.79,Basic,Online,51,13,24,4291.44,151.1,2,2.9617071433702007,-0.3635749103795301,High-Value Loyalists
CUST-10745,36.0,Male,New York,47190.41,Silver,Mobile App,5,79,3,143.66,91.6,0,-1.8532164588152136,1.0827061630472021,New / Low-Engagement
CUST-10345,52.0,Female,Portland,83540.23,Silver,Online,27,3,29,6493.52,127.35,2,3.2459152073149307,-0.7202644575278616,High-Value Loyalists
CUST-10294,63.0,Female,Atlanta,46567.62,Gold,Online,31,35,19,1085.28,21.75,4,0.5408542890837061,-0.5090527866066363,Budget Shoppers
CUST-11194,30.0,Male,Los Angeles,33061.41,Platinum,Online,11,14,18,1254.0,43.76,3,-0.7389781601587194,-1.1995024470649112,Young Digital Shoppers
CUST-10091,18.0,Female,Chicago,35821.22,Basic,Mobile App,20,11,17,766.96,38.19,3,-1.0018898273415486,-1.504131156519762,Young Digital Shoppers
CUST-10725,68.0,Female,Portland,93418.4,Platinum,In-Store,33,4,2,1069.94,264.96,1,1.5623452638796038,1.453746381424586,Occasional Big Spenders
CUST-11185,24.0,Male,Austin,37812.26,Gold,Online,11,9,17,546.7,43.29,3,-1.064823481669586,-1.2832066731559741,Young Digital Shoppers
CUST-10662,47.0,Female,Boston,97459.15,Gold,In-Store,29,55,2,2174.49,471.64,1,1.3670009763094546,2.8846586284071845,Occasional Big Spenders
CUST-11040,26.0,Female,Seattle,37808.66,Silver,Online,12,33,14,641.06,10.99,3,-1.3401252929378988,-0.874354157760252,Young Digital Shoppers
CUST-11198,25.0,Female,Boston,28806.35,Silver,Online,6,18,7,951.2,22.05,3,-1.6087330344993924,-0.7919797355828827,Young Digital Shoppers
CUST-10738,46.0,Male,Denver,113209.15,Silver,Online,34,87,3,704.97,284.71,1,0.49980897432248333,2.6594283074425613,Occasional Big Spenders
CUST-11186,31.0,Female,Atlanta,32558.38,Silver,Online,22,0,13,355.28,29.46,3,-0.8441854435211193,-1.3689816910663781,Young Digital Shoppers
CUST-10666,44.0,Female,Houston,115048.58,Platinum,In-Store,1,54,6,1633.11,374.69,1,0.6027925406157667,2.750739598412041,Occasional Big Spenders
CUST-10127,41.0,Female,Portland,39397.48,Basic,Online,25,29,13,868.94,28.21,4,-0.4979482159786645,-0.6911144181636075,Budget Shoppers
CUST-10533,41.0,Female,Denver,118484.51,Silver,Online,61,12,28,4470.53,187.98,2,3.553105987772407,-0.4455256143074755,High-Value Loyalists
CUST-10827,38.0,Female,Chicago,37906.2,Gold,In-Store,7,76,2,106.77,54.33,0,-1.979927851763088,0.8229557896586428,New / Low-Engagement
CUST-11022,25.0,Female,Atlanta,52244.31,Basic,Mobile App,17,22,15,969.67,34.7,3,-0.7772816588012028,-0.8971967486550714,Young Digital Shoppers
CUST-10940,43.0,Female,Los Angeles,61642.94,Basic,In-Store,7,71,1,127.93,54.89,0,-1.5265241490573236,1.1626574976345678,New / Low-Engagement
CUST-11125,22.0,Female,Austin,47693.575,Basic,Online,2,11,23,933.62,28.56,3,-0.9200503089198478,-1.4057188222426742,Young Digital Shoppers
CUST-10979,34.0,Female,Los Angeles,40754.59,Silver,Online,1,75,2,50.84,56.38,0,-2.196011262257691,0.8505953948143191,New / Low-Engagement
CUST-10072,46.0,Male,Phoenix,52736.63,Basic,Online,16,15,20,902.1,42.26,4,0.0036924915586023766,-0.8323740615998204,Budget Shoppers
CUST-10820,37.0,Female,Atlanta,31371.73,Platinum,In-Store,1,53,1,102.32,32.2,0,-2.1225532395695415,0.383305071077457,New / Low-Engagement
CUST-10147,29.0,Male,Los Angeles,29731.68,Silver,Online,31,17,15,580.62,27.24,3,-0.7327536625871649,-1.373437445882617,Young Digital Shoppers
CUST-10977,32.0,Male,Portland,70038.79,Silver,Online,7,138,3,146.45,90.13,0,-2.127203957407196,2.198329132904446,New / Low-Engagement
CUST-11076,21.0,Male,Boston,45260.19,Basic,Online,20,7,26,590.03,43.95,3,-0.49918024209842426,-1.8016631408471653,Young Digital Shoppers
CUST-10951,18.0,Male,Austin,49209.58,Platinum,In-Store,1,46,2,168.61,62.48,0,-2.224227628224973,0.24034568363281458,New / Low-Engagement
CUST-10679,29.0,Female,Austin,118413.0,Basic,Online,8,35,8,2642.04,381.55,1,0.9752587819619457,2.0872669877820864,Occasional Big Spenders
CUST-11103,20.0,Female,Los Angeles,44091.07,Platinum,Online,24,21,17,720.81,33.09,3,-0.8616434066007314,-1.279770789213551,Young Digital Shoppers
CUST-11144,24.0,Male,Phoenix,61913.59,Silver,Mobile App,25,13,14,895.82,45.56,3,-0.45301802572998745,-0.9423950295904134,Young Digital Shoppers
CUST-10223,35.0,Male,Houston,27616.17,Silver,In-Store,7,22,13,685.04,18.17,3,-1.2514702124092865,-0.8808888716133252,Young Digital Shoppers
CUST-10278,36.0,Male,Denver,52874.93,Basic,Mobile App,37,24,25,221.75,31.0,4,0.06912915920673034,-1.3886765219944315,Budget Shoppers
CUST-10015,24.0,Male,Austin,28800.92,Gold,Mobile App,27,18,17,605.05,24.41,3,-0.9108404957725157,-1.513958945415158,Young Digital Shoppers
CUST-10419,47.0,Female,New York,95223.07,Silver,In-Store,38,12,20,5274.12,187.17,2,2.870415237885685,0.021807234090912057,High-Value Loyalists
CUST-10321,35.0,Female,Miami,42472.48,Silver,In-Store,32,32,20,541.68,9.88,4,-0.39256186191574455,-1.198895546468485,Budget Shoppers
CUST-10086,36.0,Male,Austin,34666.97,Gold,Online,45,7,21,978.06,35.43,4,0.28493643595779833,-1.7614832969339043,Budget Shoppers
CUST-10772,25.0,Male,Los Angeles,43036.62,Gold,Mobile App,1,99,3,143.42,86.75,0,-2.477976468387363,1.188407372568666,New / Low-Engagement
CUST-11058,27.0,Female,Seattle,47693.575,Basic,In-Store,11,15,12,616.97,33.08,3,-1.0828668376871724,-0.8263616525843257,Young Digital Shoppers
CUST-10625,59.0,Male,New York,133612.29,Silver,Online,14,60,4,2605.96,327.6,1,1.6319712117460587,3.071985850942877,Occasional Big Spenders
CUST-10699,28.0,Female,Seattle,111362.1,Basic,In-Store,18,61,4,2515.14,319.88,1,0.5444182927260262,2.208332328886198,Occasional Big Spenders
CUST-11104,27.0,Female,Atlanta,37349.26,Silver,Mobile App,30,11,25,1664.02,14.45,3,0.005766664049323835,-1.9206700315716,Young Digital Shoppers
CUST-10376,64.0,Non-Binary,Seattle,72643.46,Basic,Online,44,13,15,5881.93,106.75,2,3.0097465590333745,-0.11550228105915361,High-Value Loyalists
CUST-10917,32.0,Female,Portland,60761.18,Basic,In-Store,2,76,3,120.11,44.93,0,-1.9511242110539515,0.964355883015926,New / Low-Engagement
CUST-10790,20.0,Female,Atlanta,53666.94,Gold,In-Store,1,87,2,133.87,49.86,0,-2.5016661520714365,0.9278949314997683,New / Low-Engagement
CUST-10530,54.0,Female,Boston,106426.25,Basic,In-Store,58,3,31,1796.31,85.6,2,2.751175537178271,-1.0607828005718265,High-Value Loyalists
