CustomerID,Age,Gender,City,AnnualIncome,MembershipTier,PreferredChannel,TenureMonths,RecencyDays,Frequency,MonetaryTotal,AvgBasketValue
CUST-11115,28.0,Female,Austin,47693.575,Basic,In-Store,12,1,28,914.33,30.67
CUST-10801,18.0,Male,Denver,55282.89,Silver,Online,7,86,2,138.82,52.07
CUST-10506,52.0,Female,Miami,64276.05,Basic,In-Store,52,18,38,6044.51,126.62
CUST-10551,47.0,Female,Boston,95256.81,Silver,In-Store,45,8,30,4500.0,118.84
CUST-10780,25.0,Female,Seattle,23478.23,Silver,Online,5,106,3,106.02,68.34
CUST-10370,53.0,Female,Houston,97514.21,Gold,Mobile App,32,4,10,4747.49,139.65
CUST-11129,24.0,Female,New York,33280.8,Silver,Online,12,19,23,506.04,37.23
CUST-10216,29.0,Male,Portland,39601.55,Platinum,Online,21,22,11,713.04,21.06
CUST-10380,50.0,Female,Miami,102231.53,Platinum,Mobile App,65,6,23,3736.82,124.18
CUST-10427,48.0,Female,New York,109425.39,Platinum,In-Store,71,9,23,1593.78,81.81
CUST-11161,27.0,Male,Atlanta,49888.73,Silver,Online,16,20,18,1223.82,32.86
CUST-10219,33.0,Male,Portland,43410.04,Silver,In-Store,10,25,17,523.58,30.03
CUST-10019,28.0,Female,Miami,34267.11,Gold,In-Store,33,43,18,277.31,26.89
CUST-11149,25.0,Male,Seattle,39482.77,Basic,Online,8,11,23,448.89,12.27
CUST-10047,44.0,Male,Portland,32497.22,Silver,Online,36,26,19,607.67,26.46
CUST-10341,52.0,Non-Binary,Los Angeles,87280.1,Platinum,Online,55,8,33,3433.13,154.38
CUST-10170,63.0,Male,Houston,32447.74,Silver,Online,22,53,13,925.69,29.52
CUST-10428,39.0,Female,Atlanta,101247.64,Silver,Mobile App,73,13,27,2393.53,140.14
CUST-10867,25.0,Male,Los Angeles,50265.5,Basic,Online,8,94,1,100.74,71.21
CUST-10043,37.0,Male,Los Angeles,46214.58,Gold,Mobile App,42,39,20,759.73,19.07
CUST-11176,23.0,Male,Portland,42190.39,Gold,Online,1,18,17,1204.0,25.53
CUST-10729,51.0,Female,Atlanta,103781.07,Silver,In-Store,13,65,6,2469.17,234.95
CUST-10413,45.0,Non-Binary,Denver,77730.69,Basic,Online,38,7,23,3363.6,116.4
CUST-10914,23.0,Male,New York,63164.99,Gold,Mobile App,3,34,3,211.3,67.33
CUST-10137,40.0,Female,Austin,42701.29,Silver,In-Store,28,27,19,312.18,32.96
CUST-10017,38.0,Female,Atlanta,37352.75,Gold,Online,35,25,11,743.5,32.14
CUST-11006,19.0,Male,Portland,30685.64,Gold,Online,26,22,26,902.02,39.85
CUST-10131,31.0,Female,Seattle,46464.9,Silver,In-Store,33,32,11,406.41,44.43
CUST-11008,23.0,Female,Portland,30909.13,Basic,Online,14,20,29,747.54,33.35
CUST-10883,30.0,Male,Seattle,36800.0,Platinum,Online,4,112,1,40.16,88.9
CUST-10825,35.0,Female,Portland,48867.93,Silver,Online,6,82,1,165.45,113.11
CUST-10455,36.0,Male,Atlanta,80142.52,Silver,In-Store,61,20,32,4265.72,135.2
CUST-11067,18.0,Female,Chicago,29868.54,Gold,Online,12,10,11,1271.33,33.25
CUST-10997,26.0,Male,Phoenix,48122.99,Basic,Online,4,7,1,144.79,65.98
CUST-10460,44.0,Female,Chicago,80256.16,Basic,Online,40,10,16,3418.89,85.66
CUST-10010,46.0,Male,Houston,25230.47,Gold,Online,24,23,13,868.37,10.94
CUST-11135,29.0,Non-Binary,Miami,39279.68,Basic,In-Store,27,15,15,925.87,33.08
CUST-10838,29.0,Male,Atlanta,32310.29,Platinum,Online,5,58,3,132.82,62.53
CUST-10104,31.0,Male,New York,37529.64,Basic,Mobile App,2,20,8,823.71,21.25
CUST-10577,37.0,Male,Houston,96982.07,Silver,In-Store,17,86,6,1740.2,342.42
CUST-11172,26.0,Female,Portland,45043.17,Gold,Online,10,16,9,737.37,36.63
CUST-10811,41.0,Male,New York,37586.08,Silver,Online,2,0,4,259.98,66.0
CUST-10978,34.0,Female,Portland,63288.74,Gold,Online,1,85,2,28.22,52.81
CUST-11007,25.0,Male,Miami,38923.84,Silver,In-Store,21,26,14,1224.06,34.3
CUST-10538,60.0,Female,Atlanta,87863.64,Basic,Online,42,14,27,4407.65,171.91
CUST-10938,25.0,Female,Miami,46928.54,Silver,Mobile App,10,53,2,160.98,43.27
CUST-10197,58.0,Female,Houston,45457.38,Gold,Online,59,16,12,543.02,13.84
CUST-11170,25.0,Male,Phoenix,40759.24,Platinum,In-Store,10,25,21,804.09,21.96
CUST-10733,32.0,Male,Chicago,80829.03,Silver,Online,33,87,4,1456.23,353.32
CUST-10730,34.0,Female,Seattle,106170.77,Gold,Mobile App,16,86,4,1057.4,243.01
CUST-10430,42.0,Female,Phoenix,93327.51,Silver,Online,50,0,20,4420.98,102.22
CUST-10861,27.0,Female,Chicago,41594.01,Platinum,Online,1,51,4,47.46,45.64
CUST-11038,18.0,Female,Denver,37715.36,Silver,Online,1,13,14,658.36,22.48
CUST-10352,39.0,Female,Chicago,83127.8,Gold,In-Store,37,9,29,2932.25,115.94
CUST-10210,47.0,Female,Portland,48115.65,Basic,Online,1,28,17,926.13,33.24
CUST-10570,53.0,Non-Binary,Phoenix,58946.64,Gold,Mobile App,45,48,4,1220.16,317.12
CUST-10225,26.0,Male,Houston,57833.9,Basic,Online,44,16,9,184.83,36.24
CUST-10537,45.0,Female,Denver,91754.68,Basic,In-Store,52,9,25,3768.86,111.12
CUST-10143,56.0,Male,Denver,26276.23,Basic,Online,15,43,10,654.75,18.58
CUST-10319,39.0,Male,Atlanta,49184.34,Basic,In-Store,19,32,16,960.09,26.96
CUST-11160,33.0,Male,Portland,55484.25,Basic,Online,10,31,23,887.28,18.33
CUST-10066,28.0,Male,Portland,30663.94,Basic,Mobile App,27,17,12,174.1,39.03
CUST-10243,37.0,Male,Los Angeles,37161.26,Basic,In-Store,31,6,15,838.23,35.89
CUST-10444,49.0,Female,Austin,125580.86,Basic,In-Store,42,6,37,4762.19,131.88
CUST-11147,22.0,Male,Los Angeles,51334.46,Silver,Online,15,19,14,619.15,42.03
CUST-10479,34.0,Male,Phoenix,117436.97,Basic,In-Store,56,7,19,2734.93,167.81
CUST-10507,42.0,Male,Los Angeles,64563.34,Platinum,Mobile App,44,12,22,3391.62,140.62
CUST-10322,34.0,Female,New York,41686.19,Basic,Online,23,3,16,675.93,35.11
CUST-10037,49.0,Female,New York,35309.08,Silver,In-Store,34,33,20,818.6,24.46
CUST-10325,40.0,Female,Boston,39977.08,Silver,Online,21,21,12,791.33,18.14
CUST-10971,28.0,Male,Miami,52738.68,Basic,Online,4,75,2,162.96,47.85
CUST-10468,31.0,Female,Austin,47693.575,Basic,Online,51,17,29,4923.7,139.05
CUST-11017,27.0,Male,New York,47588.55,Basic,Online,6,18,20,1173.72,25.22
CUST-11146,24.0,Female,New York,45972.49,Basic,Online,14,26,7,508.17,34.18
CUST-10489,53.0,Female,Houston,115453.5,Silver,In-Store,60,17,30,3718.19,132.23
CUST-10918,25.0,Male,Houston,42002.7,Basic,Mobile App,6,85,2,118.72,7.74
CUST-11197,22.0,Female,Miami,63611.08,Silver,In-Store,13,10,34,737.19,28.3
CUST-10045,32.0,Female,Miami,29105.46,Silver,Online,46,30,11,772.56,11.55
CUST-10357,47.0,Male,Los Angeles,115125.29,Silver,In-Store,60,7,30,2440.59,83.84
CUST-10292,31.0,Female,Houston,46213.03,Silver,In-Store,60,23,11,583.84,38.46
CUST-10969,30.0,Female,Houston,59490.23,Silver,Online,1,72,1,128.69,14.15
CUST-10093,42.0,Male,Seattle,44407.88,Platinum,In-Store,30,23,18,608.91,42.89
CUST-11072,28.0,Male,New York,41863.36,Gold,In-Store,11,14,11,395.39,35.02
CUST-10408,44.0,Female,Denver,87784.93,Basic,Online,47,0,26,5280.02,101.65
CUST-11027,26.0,Male,Chicago,35949.76,Basic,In-Store,13,16,23,1141.87,60.71
CUST-11012,24.0,Female,Houston,34962.27,Basic,Online,11,6,15,1014.58,60.44
CUST-11081,22.0,Female,New York,54327.02,Gold,Online,18,19,27,567.45,24.24
CUST-10026,44.0,Female,Seattle,49059.79,Silver,Online,41,41,9,603.35,20.73
CUST-10641,45.0,Male,Seattle,99981.49,Basic,In-Store,28,36,9,2656.62,291.68
CUST-10504,43.0,Male,Austin,108895.79,Basic,Online,51,13,24,4291.44,151.1
CUST-10745,36.0,Male,New York,47190.41,Silver,Mobile App,5,79,3,143.66,91.6
CUST-10345,52.0,Female,Portland,83540.23,Silver,Online,27,3,29,6493.52,127.35
CUST-10294,63.0,Female,Atlanta,46567.62,Gold,Online,31,35,19,1085.28,21.75
CUST-11194,30.0,Male,Los Angeles,33061.41,Platinum,Online,11,14,18,1254.0,43.76
CUST-10091,18.0,Female,Chicago,35821.22,Basic,Mobile App,20,11,17,766.96,38.19
CUST-10725,68.0,Female,Portland,93418.4,Platinum,In-Store,33,4,2,1069.94,264.96
CUST-11185,24.0,Male,Austin,37812.26,Gold,Online,11,9,17,546.7,43.29
CUST-10662,47.0,Female,Boston,97459.15,Gold,In-Store,29,55,2,2174.49,471.64
CUST-11040,26.0,Female,Seattle,37808.66,Silver,Online,12,33,14,641.06,10.99
CUST-11198,25.0,Female,Boston,28806.35,Silver,Online,6,18,7,951.2,22.05
CUST-10738,46.0,Male,Denver,113209.15,Silver,Online,34,87,3,704.97,284.71
CUST-11186,31.0,Female,Atlanta,32558.38,Silver,Online,22,0,13,355.28,29.46
CUST-10666,44.0,Female,Houston,115048.58,Platinum,In-Store,1,54,6,1633.11,374.69
CUST-10127,41.0,Female,Portland,39397.48,Basic,Online,25,29,13,868.94,28.21
CUST-10533,41.0,Female,Denver,118484.51,Silver,Online,61,12,28,4470.53,187.98
CUST-10827,38.0,Female,Chicago,37906.2,Gold,In-Store,7,76,2,106.77,54.33
CUST-11022,25.0,Female,Atlanta,52244.31,Basic,Mobile App,17,22,15,969.67,34.7
CUST-10940,43.0,Female,Los Angeles,61642.94,Basic,In-Store,7,71,1,127.93,54.89
CUST-11125,22.0,Female,Austin,47693.575,Basic,Online,2,11,23,933.62,28.56
CUST-10979,34.0,Female,Los Angeles,40754.59,Silver,Online,1,75,2,50.84,56.38
CUST-10072,46.0,Male,Phoenix,52736.63,Basic,Online,16,15,20,902.1,42.26
CUST-10820,37.0,Female,Atlanta,31371.73,Platinum,In-Store,1,53,1,102.32,32.2
CUST-10147,29.0,Male,Los Angeles,29731.68,Silver,Online,31,17,15,580.62,27.24
CUST-10977,32.0,Male,Portland,70038.79,Silver,Online,7,138,3,146.45,90.13
CUST-11076,21.0,Male,Boston,45260.19,Basic,Online,20,7,26,590.03,43.95
CUST-10951,18.0,Male,Austin,49209.58,Platinum,In-Store,1,46,2,168.61,62.48
CUST-10679,29.0,Female,Austin,118413.0,Basic,Online,8,35,8,2642.04,381.55
CUST-11103,20.0,Female,Los Angeles,44091.07,Platinum,Online,24,21,17,720.81,33.09
CUST-11144,24.0,Male,Phoenix,61913.59,Silver,Mobile App,25,13,14,895.82,45.56
CUST-10223,35.0,Male,Houston,27616.17,Silver,In-Store,7,22,13,685.04,18.17
CUST-10278,36.0,Male,Denver,52874.93,Basic,Mobile App,37,24,25,221.75,31.0
CUST-10015,24.0,Male,Austin,28800.92,Gold,Mobile App,27,18,17,605.05,24.41
CUST-10419,47.0,Female,New York,95223.07,Silver,In-Store,38,12,20,5274.12,187.17
CUST-10321,35.0,Female,Miami,42472.48,Silver,In-Store,32,32,20,541.68,9.88
CUST-10086,36.0,Male,Austin,34666.97,Gold,Online,45,7,21,978.06,35.43
CUST-10772,25.0,Male,Los Angeles,43036.62,Gold,Mobile App,1,99,3,143.42,86.75
CUST-11058,27.0,Female,Seattle,47693.575,Basic,In-Store,11,15,12,616.97,33.08
CUST-10625,59.0,Male,New York,133612.29,Silver,Online,14,60,4,2605.96,327.6
CUST-10699,28.0,Female,Seattle,111362.1,Basic,In-Store,18,61,4,2515.14,319.88
CUST-11104,27.0,Female,Atlanta,37349.26,Silver,Mobile App,30,11,25,1664.02,14.45
CUST-10376,64.0,Non-Binary,Seattle,72643.46,Basic,Online,44,13,15,5881.93,106.75
CUST-10917,32.0,Female,Portland,60761.18,Basic,In-Store,2,76,3,120.11,44.93
CUST-10790,20.0,Female,Atlanta,53666.94,Gold,In-Store,1,87,2,133.87,49.86
CUST-10530,54.0,Female,Boston,106426.25,Basic,In-Store,58,3,31,1796.31,85.6
CUST-10877,41.0,Male,Miami,36182.58,Silver,Online,2,46,2,156.29,28.79
CUST-10423,33.0,Male,Portland,94379.45,Gold,Online,35,6,37,4523.76,104.21
CUST-11024,26.0,Non-Binary,Houston,34828.75,Silver,In-Store,20,24,20,1155.67,33.73
CUST-10513,45.0,Female,Chicago,89055.48,Platinum,Online,39,11,28,5210.95,112.96
CUST-10853,18.0,Female,Los Angeles,45286.41,Gold,In-Store,3,83,2,53.58,78.74
CUST-11184,19.0,Male,Boston,46426.61,Basic,Online,5,15,8,867.73,35.15
CUST-10510,38.0,Female,Denver,59495.28,Basic,Online,48,6,33,3680.21,147.46
CUST-11002,18.0,Female,Houston,45652.76,Gold,Mobile App,25,12,12,1322.9,34.86
CUST-10993,30.0,Male,Portland,32356.07,Basic,In-Store,6,46,2,134.65,60.78
CUST-11095,29.0,Female,Atlanta,47530.3,Basic,Online,6,16,22,1103.99,60.94
CUST-10132,27.0,Female,New York,31497.81,Basic,In-Store,44,29,8,581.75,27.26
CUST-10711,50.0,Female,Los Angeles,141388.97,Basic,Mobile App,17,49,3,1982.26,385.87
CUST-11015,21.0,Male,Chicago,42412.1,Silver,In-Store,7,13,21,644.83,29.24
CUST-10786,29.0,Female,Seattle,24317.37,Silver,Online,4,21,0,141.18,37.53
CUST-10231,24.0,Female,Austin,47693.575,Basic,In-Store,70,45,17,480.06,14.88
CUST-10842,33.0,Male,Los Angeles,39010.64,Platinum,Online,3,58,2,52.75,25.44
CUST-10061,32.0,Female,Miami,40013.4,Silver,Online,59,24,24,644.9,16.06
CUST-10912,55.0,Female,Houston,52650.34,Basic,Mobile App,2,94,2,175.71,8.93
CUST-10383,45.0,Female,Phoenix,90231.74,Basic,In-Store,26,13,19,5786.21,180.62
CUST-10214,46.0,Male,Austin,35205.8,Basic,Mobile App,54,29,13,652.69,39.47
CUST-10755,30.0,Female,Miami,62383.43,Basic,In-Store,1,48,2,124.36,70.86
CUST-11094,20.0,Female,Portland,49451.45,Silver,In-Store,16,6,16,776.56,29.15
CUST-10310,20.0,Male,Atlanta,35419.71,Gold,Online,14,10,15,527.65,29.46
CUST-10737,18.0,Male,Houston,135262.42,Platinum,Online,28,92,6,1627.79,340.42
CUST-10039,37.0,Male,Seattle,51322.29,Gold,Online,25,18,14,790.74,30.73
CUST-10501,39.0,Male,Portland,97921.23,Basic,Online,64,14,37,5064.33,188.16
CUST-10675,41.0,Male,Austin,118097.97,Basic,In-Store,1,57,4,2612.71,445.12
CUST-10110,63.0,Male,Austin,34081.27,Gold,In-Store,44,37,9,528.59,22.84
CUST-10073,42.0,Female,Atlanta,45125.02,Silver,Online,35,33,12,622.97,34.54
CUST-11085,26.0,Female,Miami,37556.44,Silver,Online,26,10,15,854.46,35.54
CUST-10437,45.0,Female,Miami,132160.47,Platinum,Mobile App,48,12,38,3953.48,122.56
CUST-10835,32.0,Non-Binary,Austin,53971.08,Basic,Online,5,50,2,63.31,54.16
CUST-10895,42.0,Male,Houston,15000.0,Silver,Online,7,19,2,149.83,55.39
CUST-10111,33.0,Male,New York,37903.26,Basic,Online,26,42,14,1026.45,31.32
CUST-10555,38.0,Male,Austin,102559.34,Silver,Online,65,14,47,3152.36,184.01
CUST-10486,49.0,Male,Phoenix,81170.48,Gold,Mobile App,47,5,28,4617.45,207.93
CUST-11107,24.0,Male,Miami,42351.7,Silver,Online,16,11,20,997.54,40.37
CUST-10796,20.0,Male,Houston,56959.1,Platinum,In-Store,3,94,1,131.1,42.63
CUST-10154,45.0,Female,Chicago,32652.07,Gold,Online,44,47,10,854.99,27.03
CUST-10727,48.0,Male,Denver,104421.63,Platinum,Online,41,18,6,2929.0,494.74
CUST-10652,63.0,Female,Chicago,130008.37,Platinum,Online,24,15,4,1825.24,382.66
CUST-10046,21.0,Female,Denver,50569.85,Gold,In-Store,37,26,16,677.9,29.46
CUST-11130,20.0,Male,Chicago,55053.4,Basic,Mobile App,15,17,5,810.63,57.13
CUST-10548,39.0,Male,Denver,105739.24,Gold,In-Store,30,7,28,6278.67,132.85
CUST-11183,29.0,Non-Binary,Boston,43328.85,Basic,In-Store,10,12,14,313.69,28.44
CUST-10931,34.0,Female,Los Angeles,56560.9,Basic,Online,6,43,3,87.91,14.83
CUST-10683,41.0,Male,Seattle,106398.26,Gold,In-Store,27,49,2,1879.02,410.18
CUST-10173,41.0,Female,Los Angeles,36544.57,Silver,In-Store,45,44,13,623.47,29.87
CUST-11126,18.0,Male,Portland,44015.28,Basic,Mobile App,2,12,20,917.97,28.82
CUST-10747,24.0,Male,Portland,41428.23,Basic,In-Store,1,41,3,170.64,51.83
CUST-11098,20.0,Female,Portland,32000.52,Basic,Online,17,17,23,391.37,30.92
CUST-10839,18.0,Female,Atlanta,61987.78,Basic,Mobile App,7,78,3,24.98,67.2
CUST-10175,34.0,Female,Austin,32581.2,Basic,In-Store,40,9,11,1246.17,23.33
CUST-10124,47.0,Male,Boston,42114.15,Platinum,In-Store,32,41,12,720.96,26.4
CUST-10449,59.0,Male,Miami,82161.28,Gold,Mobile App,60,6,29,781.04,155.27
CUST-10636,50.0,Male,Austin,47693.575,Basic,Online,28,103,5,1773.6,485.19
CUST-10350,57.0,Male,Phoenix,83793.84,Silver,Mobile App,41,14,42,4011.34,76.25
CUST-10040,48.0,Female,Phoenix,46882.26,Gold,In-Store,55,26,18,1073.95,43.42
CUST-10253,40.0,Female,Portland,52380.75,Basic,In-Store,7,25,15,534.04,23.73
CUST-11136,28.0,Female,Portland,34384.82,Gold,Online,13,10,5,1204.69,37.4
CUST-10916,44.0,Male,Atlanta,59027.56,Silver,In-Store,1,76,2,210.56,83.05
CUST-10950,22.0,Female,Seattle,37763.28,Silver,In-Store,1,57,4,132.17,68.85
CUST-11171,27.0,Female,Atlanta,43339.4,Basic,In-Store,10,19,17,1158.02,9.52
CUST-11099,25.0,Female,New York,31826.14,Basic,Mobile App,14,22,20,506.11,35.14
CUST-10314,44.0,Female,Denver,48037.31,Platinum,In-Store,30,27,5,870.53,39.0
CUST-10267,42.0,Male,Seattle,28619.85,Silver,Online,27,17,16,591.07,25.55
CUST-10235,30.0,Male,Boston,15000.0,Basic,Online,48,28,7,594.45,17.57
CUST-10150,55.0,Female,New York,40950.15,Basic,In-Store,45,21,21,572.53,32.14
CUST-10291,20.0,Male,Portland,15000.0,Platinum,Mobile App,27,34,7,387.64,28.03
CUST-10715,40.0,Male,Houston,112403.34,Gold,Online,32,48,4,1681.76,401.82
CUST-11086,23.0,Female,Austin,37278.55,Basic,Mobile App,14,17,19,839.33,51.74
CUST-10205,69.0,Male,Austin,50318.07,Basic,Online,28,39,23,657.14,7.32
CUST-10374,54.0,Male,Austin,64300.25,Silver,Online,67,1,27,4573.99,113.39
CUST-10809,41.0,Female,Houston,60445.43,Silver,Online,6,50,1,142.33,45.74
CUST-10293,48.0,Male,Atlanta,47293.81,Platinum,In-Store,21,25,10,913.02,21.08
CUST-10177,53.0,Female,Portland,44938.15,Basic,In-Store,13,22,10,731.86,48.58
CUST-10947,31.0,Female,New York,41017.08,Gold,Online,4,103,1,174.14,36.27
CUST-10536,80.0,Female,New York,89188.54,Silver,Online,44,7,22,4228.02,169.56
CUST-10148,38.0,Non-Binary,Boston,36919.43,Platinum,In-Store,52,23,18,799.79,22.55
CUST-10399,40.0,Male,Seattle,140763.35,Basic,In-Store,58,11,34,1763.65,121.51
CUST-10698,46.0,Female,Phoenix,131698.69,Silver,Online,1,66,3,1094.75,324.75
CUST-11124,38.0,Female,Seattle,55267.43,Basic,Online,28,16,20,737.69,19.39
CUST-10618,60.0,Female,Chicago,141448.91,Basic,Online,4,100,4,1617.26,507.19
CUST-10404,65.0,Male,Atlanta,99173.45,Silver,Mobile App,59,14,22,7310.47,112.41
CUST-10964,27.0,Male,Los Angeles,56610.13,Gold,In-Store,5,88,0,95.38,86.47
CUST-10880,18.0,Female,Houston,35136.44,Basic,In-Store,2,82,2,106.57,53.0
CUST-10069,63.0,Female,Seattle,39864.46,Basic,Online,33,20,11,719.75,38.13
CUST-10655,39.0,Female,Atlanta,145719.16,Platinum,Online,19,75,6,2751.43,385.22
CUST-10367,44.0,Female,Los Angeles,74079.11,Silver,In-Store,73,10,52,3123.05,107.25
CUST-11112,24.0,Female,Austin,33987.47,Platinum,Online,15,31,10,987.78,30.72
CUST-11051,24.0,Male,Boston,23621.5,Silver,In-Store,13,24,20,1343.2,31.68
CUST-10604,59.0,Male,Los Angeles,98663.09,Platinum,In-Store,12,87,3,1714.79,513.8
CUST-10129,43.0,Female,Phoenix,58410.67,Silver,Online,11,33,16,759.12,16.64
CUST-10451,44.0,Female,Seattle,102234.45,Gold,Mobile App,60,6,29,4761.37,136.13
CUST-10680,53.0,Female,Chicago,97658.04,Gold,Mobile App,11,64,4,3563.61,423.55
CUST-10071,51.0,Male,Chicago,37027.16,Gold,Mobile App,40,12,18,555.71,23.96
CUST-10995,30.0,Female,Denver,68839.55,Silver,In-Store,10,55,3,22.95,64.4
CUST-11141,22.0,Female,Austin,40688.25,Silver,Mobile App,20,13,32,1230.55,30.4
CUST-11034,27.0,Male,Portland,30424.74,Basic,In-Store,14,9,28,957.65,21.44
CUST-10347,46.0,Female,New York,97828.03,Basic,In-Store,39,8,39,3817.38,175.78
CUST-10988,38.0,Female,Denver,55503.44,Silver,Online,6,64,2,97.06,34.86
CUST-10393,31.0,Male,Houston,86844.58,Silver,Online,46,7,35,2403.84,128.63
CUST-10120,18.0,Male,Portland,17710.19,Basic,In-Store,30,8,16,791.99,28.6
CUST-11108,26.0,Female,Seattle,31376.27,Basic,Online,17,16,28,725.64,36.23
CUST-10543,41.0,Female,Austin,120754.56,Silver,Mobile App,61,3,33,3596.23,168.46
CUST-10740,32.0,Male,Chicago,111159.17,Basic,Online,30,90,7,2410.4,333.84
CUST-10184,46.0,Female,Atlanta,41230.38,Platinum,Online,51,23,10,715.95,26.25
CUST-11156,26.0,Female,Seattle,32532.16,Silver,Online,26,22,22,993.62,46.84
CUST-10586,53.0,Female,Austin,120339.73,Gold,Online,25,36,4,715.97,245.6
CUST-10377,49.0,Female,Austin,102364.84,Basic,Online,46,13,23,3182.51,134.61
CUST-10358,34.0,Non-Binary,Denver,90062.41,Silver,In-Store,66,12,36,4984.41,99.02
CUST-11193,24.0,Female,Atlanta,34240.72,Platinum,Online,15,25,20,526.63,42.22
CUST-11188,27.0,Female,Miami,38965.75,Basic,Online,26,26,13,897.95,38.11
CUST-10167,20.0,Male,Boston,39513.2,Basic,Online,35,25,16,547.86,32.03
CUST-10038,39.0,Female,Portland,50960.28,Silver,Online,30,23,18,587.31,17.95
CUST-10439,66.0,Female,Miami,85596.76,Basic,Mobile App,41,1,18,4456.71,120.05
CUST-10044,58.0,Female,Los Angeles,44663.49,Platinum,Online,41,22,17,651.38,29.62
CUST-10891,29.0,Male,Austin,47693.575,Silver,In-Store,5,40,1,159.28,33.76
CUST-10379,32.0,Female,New York,81601.11,Silver,In-Store,74,0,24,5198.87,133.65
CUST-10642,41.0,Male,Portland,76624.54,Basic,Online,18,63,7,2103.09,473.47
